Fecha;holiday_count;holy_week;feria;Pernoctaciones_Totales
2025-12;3;0;0;522493
2025-11;1;0;0;560063
2025-10;1;0;0;628123
2025-09;0;0;0;571732
2025-08;1;0;0;523211
2025-07;0;0;0;487984
2025-06;0;0;0;544084
2025-05;2;0;1;631726
2025-04;2;1;0;612328
2025-03;2;0;0;586827
2025-02;1;0;0;492180
2025-01;2;0;0;454623
2024-12;3;0;0;478434
2024-11;1;0;0;522971
2024-10;1;0;0;626361
2024-09;0;0;0;564404
2024-08;1;0;0;535444
2024-07;0;0;0;485184
2024-06;0;0;0;538175
2024-05;2;0;0;625837
2024-04;2;0;1;624582
2024-03;2;1;0;589765
2024-02;1;0;0;499202
2024-01;2;0;0;446202
2023-12;3;0;0;500066
2023-11;1;0;0;488858
2023-10;1;0;0;599211
2023-09;0;0;0;554960
2023-08;1;0;0;522750
2023-07;0;0;0;459618
2023-06;0;0;0;512525
2023-05;2;0;0;562068
2023-04;2;1;1;595597
2023-03;2;0;0;537924
2023-02;1;0;0;440838
2023-01;2;0;0;408994
2022-12;3;0;0;396756
2022-11;1;0;0;456113
2022-10;1;0;0;542213
2022-09;0;0;0;514112
2022-08;1;0;0;494167
2022-07;0;0;0;403393
2022-06;0;0;0;488732
2022-05;2;0;1;528744
2022-04;2;1;0;508478
2022-03;2;0;0;444249
2022-02;1;0;0;357150
2022-01;2;0;0;272681
2021-12;3;0;0;351936
2021-11;1;0;0;393387
2021-10;1;0;0;457081
2021-09;0;0;0;361599
2021-08;1;0;0;333813
2021-07;0;0;0;263865
2021-06;0;0;0;234715
2021-05;2;0;1;163903
2021-04;2;1;0;87603
2021-03;2;1;0;76440
2021-02;1;0;0;58469
2021-01;2;0;0;63840
2020-12;3;0;0;62371
2020-11;1;0;0;57748
2020-10;1;0;0;132970
2020-09;0;0;0;123463
2020-08;1;0;0;130841
2020-07;0;0;0;111779
2020-06;0;0;0;0
2020-05;2;0;0;0
2020-04;2;1;0;0
2020-03;2;0;0;199254
2020-02;1;0;0;437595
2020-01;2;0;0;404614
2019-12;3;0;0;429262
2019-11;1;0;0;467038
2019-10;1;0;0;559653
2019-09;0;0;0;530014
2019-08;1;0;0;516112
2019-07;0;0;0;449957
2019-06;0;0;0;496857
2019-05;2;0;1;559710
2019-04;2;1;0;550389
2019-03;2;0;0;521852
2019-02;1;0;0;411930
2019-01;2;0;0;394088
2018-12;3;0;0;419303
2018-11;1;0;0;458820
2018-10;1;0;0;536328
2018-09;0;0;0;511231
2018-08;1;0;0;472616
2018-07;0;0;0;428792
2018-06;0;0;0;478235
2018-05;2;0;0;523613
2018-04;2;1;1;504230
2018-03;2;1;0;453286
2018-02;1;0;0;384575
2018-01;2;0;0;356261
2017-12;3;0;0;392591
2017-11;1;0;0;427264
2017-10;1;0;0;520886
2017-09;0;0;0;480435
2017-08;1;0;0;466582
2017-07;0;0;0;395786
2017-06;0;0;0;450421
2017-05;2;0;1;499534
2017-04;2;1;0;501802
2017-03;2;0;0;417289
2017-02;1;0;0;344305
2017-01;2;0;0;329506
2016-12;3;0;0;356295
2016-11;1;0;0;380143
2016-10;1;0;0;507455
2016-09;0;0;0;478225
2016-08;1;0;0;436374
2016-07;0;0;0;379439
2016-06;0;0;0;427837
2016-05;2;0;0;473016
2016-04;2;0;1;461849
2016-03;2;1;0;437334
2016-02;1;0;0;354605
2016-01;2;0;0;303804